speech_id,work,loci,spkr,addr,book,line,text,level,urn
5,Iliad,1.74-1.83,Calchas,Achilles,1,75,μῆνιν Ἀπόλλωνος ἑκατηβελέταο ἄνακτος·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.75
5,Iliad,1.74-1.83,Calchas,Achilles,1,76,τοὶ γὰρ ἐγὼν ἐρέω· σὺ δὲ σύνθεο καί μοι ὄμοσσον,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.76
5,Iliad,1.74-1.83,Calchas,Achilles,1,77,ἦ μέν μοι πρόφρων ἔπεσιν καὶ χερσὶν ἀρήξειν·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.77
5,Iliad,1.74-1.83,Calchas,Achilles,1,78,"ἦ γὰρ ὀΐομαι ἄνδρα χολωσέμεν, ὃς μέγα πάντων",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.78
5,Iliad,1.74-1.83,Calchas,Achilles,1,79,Ἀργείων κρατέει καί οἱ πείθονται Ἀχαιοί·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.79
5,Iliad,1.74-1.83,Calchas,Achilles,1,80,κρείσσων γὰρ βασιλεὺς ὅτε χώσεται ἀνδρὶ χέρηϊ·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.80
5,Iliad,1.74-1.83,Calchas,Achilles,1,81,"εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.81
5,Iliad,1.74-1.83,Calchas,Achilles,1,82,"ἀλλά τε καὶ μετόπισθεν ἔχει κότον, ὄφρα τελέσσῃ,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.82
5,Iliad,1.74-1.83,Calchas,Achilles,1,83,ἐν στήθεσσιν ἑοῖσι· σὺ δὲ φράσαι εἴ με σαώσεις.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.83
6,Iliad,1.85-1.91,Achilles,Calchas,1,85,θαρσήσας μάλα εἰπὲ θεοπρόπιον ὅ τι οἶσθα·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.85
6,Iliad,1.85-1.91,Achilles,Calchas,1,86,"οὐ μὰ γὰρ Ἀπόλλωνα Διῒ φίλον, ᾧ τε σὺ Κάλχαν",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.86
6,Iliad,1.85-1.91,Achilles,Calchas,1,87,"εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.87
6,Iliad,1.85-1.91,Achilles,Calchas,1,88,οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.88
6,Iliad,1.85-1.91,Achilles,Calchas,1,89,σοὶ κοίλῃς παρὰ νηυσί βαρείας χεῖρας ἐποίσει,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.89
6,Iliad,1.85-1.91,Achilles,Calchas,1,90,"συμπάντων Δαναῶν, οὐδʼ ἢν Ἀγαμέμνονα εἴπῃς,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.90
6,Iliad,1.85-1.91,Achilles,Calchas,1,91,ὃς νῦν πολλὸν ἄριστος Ἀχαιῶν εὔχεται εἶναι.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.91
7,Iliad,1.93-1.100,Calchas,Achilles,1,93,"οὔ τʼ ἄρ ὅ γʼ εὐχωλῆς ἐπιμέμφεται οὐδʼ ἑκατόμβης,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.93
7,Iliad,1.93-1.100,Calchas,Achilles,1,94,"ἀλλʼ ἕνεκʼ ἀρητῆρος ὃν ἠτίμησʼ Ἀγαμέμνων,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.94
7,Iliad,1.93-1.100,Calchas,Achilles,1,95,"οὐδʼ ἀπέλυσε θύγατρα καὶ οὐκ ἀπεδέξατʼ ἄποινα,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.95
7,Iliad,1.93-1.100,Calchas,Achilles,1,96,τοὔνεκʼ ἄρʼ ἄλγεʼ ἔδωκεν ἑκηβόλος ἠδʼ ἔτι δώσει·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.96
7,Iliad,1.93-1.100,Calchas,Achilles,1,97,οὐδʼ ὅ γε πρὶν Δαναοῖσιν ἀεικέα λοιγὸν ἀπώσει,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.97
7,Iliad,1.93-1.100,Calchas,Achilles,1,98,πρίν γʼ ἀπὸ πατρὶ φίλῳ δόμεναι ἑλικώπιδα κούρην,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.98
7,Iliad,1.93-1.100,Calchas,Achilles,1,99,"ἀπριάτην ἀνάποινον, ἄγειν θʼ ἱερὴν ἑκατόμβην",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.99
7,Iliad,1.93-1.100,Calchas,Achilles,1,100,ἐς Χρύσην· τότε κέν μιν ἱλασσάμενοι πεπίθοιμεν.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.100
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,106,μάντι κακῶν οὐ πώ ποτέ μοι τὸ κρήγυον εἶπας·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.106
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,107,"αἰεί τοι τὰ κάκʼ ἐστὶ φίλα φρεσὶ μαντεύεσθαι,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.107
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,108,ἐσθλὸν δʼ οὔτέ τί πω εἶπας ἔπος οὔτʼ ἐτέλεσσας·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.108
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,109,καὶ νῦν ἐν Δαναοῖσι θεοπροπέων ἀγορεύεις,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.109
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,110,"ὡς δὴ τοῦδʼ ἕνεκά σφιν ἑκηβόλος ἄλγεα τεύχει,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.110
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,111,οὕνεκʼ ἐγὼ κούρης Χρυσηΐδος ἀγλάʼ ἄποινα,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.111
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,112,"οὐκ ἔθελον δέξασθαι, ἐπεὶ πολὺ βούλομαι αὐτὴν",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.112
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,113,οἴκοι ἔχειν· καὶ γάρ ῥα Κλυταιμνήστρης προβέβουλα,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.113
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,114,"κουριδίης ἀλόχου, ἐπεὶ οὔ ἑθέν ἐστι χερείων,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.114
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,115,"οὐ δέμας οὐδὲ φυήν, οὔτʼ ἂρ φρένας οὔτέ τι ἔργα.",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.115
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,116,ἀλλὰ καὶ ὧς ἐθέλω δόμεναι πάλιν εἰ τό γʼ ἄμεινον·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.116
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,117,βούλομʼ ἐγὼ λαὸν σῶν ἔμμεναι ἢ ἀπολέσθαι·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.117
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,118,αὐτὰρ ἐμοὶ γέρας αὐτίχʼ ἑτοιμάσατʼ ὄφρα μὴ οἶος,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.118
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,119,"Ἀργείων ἀγέραστος ἔω, ἐπεὶ οὐδὲ ἔοικε·",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.119
8,Iliad,1.106-1.120,Agamemnon,Calchas,1,120,λεύσσετε γὰρ τό γε πάντες ὅ μοι γέρας ἔρχεται ἄλλῃ.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.120
9,Iliad,1.122-1.129,Achilles,Agamemnon,1,122,"Ἀτρεΐδη κύδιστε φιλοκτεανώτατε πάντων,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.122
9,Iliad,1.122-1.129,Achilles,Agamemnon,1,123,πῶς γάρ τοι δώσουσι γέρας μεγάθυμοι Ἀχαιοί;,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.123
9,Iliad,1.122-1.129,Achilles,Agamemnon,1,124,οὐδέ τί που ἴδμεν ξυνήϊα κείμενα πολλά·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.124
9,Iliad,1.122-1.129,Achilles,Agamemnon,1,125,"ἀλλὰ τὰ μὲν πολίων ἐξεπράθομεν, τὰ δέδασται,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.125
9,Iliad,1.122-1.129,Achilles,Agamemnon,1,126,λαοὺς δʼ οὐκ ἐπέοικε παλίλλογα ταῦτʼ ἐπαγείρειν.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.126
9,Iliad,1.122-1.129,Achilles,Agamemnon,1,127,ἀλλὰ σὺ μὲν νῦν τήνδε θεῷ πρόες· αὐτὰρ Ἀχαιοὶ,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.127
9,Iliad,1.122-1.129,Achilles,Agamemnon,1,128,"τριπλῇ τετραπλῇ τʼ ἀποτείσομεν, αἴ κέ ποθι Ζεὺς",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.128
9,Iliad,1.122-1.129,Achilles,Agamemnon,1,129,δῷσι πόλιν Τροίην εὐτείχεον ἐξαλαπάξαι.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.129
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,131,μὴ δʼ οὕτως ἀγαθός περ ἐὼν θεοείκελʼ Ἀχιλλεῦ,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.131
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,132,"κλέπτε νόῳ, ἐπεὶ οὐ παρελεύσεαι οὐδέ με πείσεις.",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.132
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,133,"ἦ ἐθέλεις ὄφρʼ αὐτὸς ἔχῃς γέρας, αὐτὰρ ἔμʼ αὔτως",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.133
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,134,"ἧσθαι δευόμενον, κέλεαι δέ με τήνδʼ ἀποδοῦναι;",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.134
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,135,ἀλλʼ εἰ μὲν δώσουσι γέρας μεγάθυμοι Ἀχαιοὶ,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.135
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,136,ἄρσαντες κατὰ θυμὸν ὅπως ἀντάξιον ἔσται·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.136
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,137,εἰ δέ κε μὴ δώωσιν ἐγὼ δέ κεν αὐτὸς ἕλωμαι,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.137
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,138,"ἢ τεὸν ἢ Αἴαντος ἰὼν γέρας, ἢ Ὀδυσῆος",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.138
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,139,ἄξω ἑλών· ὃ δέ κεν κεχολώσεται ὅν κεν ἵκωμαι.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.139
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,140,"ἀλλʼ ἤτοι μὲν ταῦτα μεταφρασόμεσθα καὶ αὖτις,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.140
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,141,"νῦν δʼ ἄγε νῆα μέλαιναν ἐρύσσομεν εἰς ἅλα δῖαν,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.141
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,142,"ἐν δʼ ἐρέτας ἐπιτηδὲς ἀγείρομεν, ἐς δʼ ἑκατόμβην",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.142
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,143,"θείομεν, ἂν δʼ αὐτὴν Χρυσηΐδα καλλιπάρῃον",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.143
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,144,"βήσομεν· εἷς δέ τις ἀρχὸς ἀνὴρ βουληφόρος ἔστω,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.144
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,145,ἢ Αἴας ἢ Ἰδομενεὺς ἢ δῖος Ὀδυσσεὺς,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.145
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,146,"ἠὲ σὺ Πηλεΐδη πάντων ἐκπαγλότατʼ ἀνδρῶν,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.146
10,Iliad,1.131-1.147,Agamemnon,Achilles,1,147,ὄφρʼ ἥμιν ἑκάεργον ἱλάσσεαι ἱερὰ ῥέξας.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.147
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,149,ὤ μοι ἀναιδείην ἐπιειμένε κερδαλεόφρον,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.149
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,150,πῶς τίς τοι πρόφρων ἔπεσιν πείθηται Ἀχαιῶν,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.150
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,151,ἢ ὁδὸν ἐλθέμεναι ἢ ἀνδράσιν ἶφι μάχεσθαι;,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.151
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,152,οὐ γὰρ ἐγὼ Τρώων ἕνεκʼ ἤλυθον αἰχμητάων,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.152
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,153,"δεῦρο μαχησόμενος, ἐπεὶ οὔ τί μοι αἴτιοί εἰσιν·",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.153
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,154,"οὐ γὰρ πώποτʼ ἐμὰς βοῦς ἤλασαν οὐδὲ μὲν ἵππους,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.154
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,155,οὐδέ ποτʼ ἐν Φθίῃ ἐριβώλακι βωτιανείρῃ,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.155
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,156,"καρπὸν ἐδηλήσαντʼ, ἐπεὶ ἦ μάλα πολλὰ μεταξὺ",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.156
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,157,οὔρεά τε σκιόεντα θάλασσά τε ἠχήεσσα·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.157
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,158,"ἀλλὰ σοὶ ὦ μέγʼ ἀναιδὲς ἅμʼ ἑσπόμεθʼ ὄφρα σὺ χαίρῃς,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.158
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,159,τιμὴν ἀρνύμενοι Μενελάῳ σοί τε κυνῶπα,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.159
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,160,πρὸς Τρώων· τῶν οὔ τι μετατρέπῃ οὐδʼ ἀλεγίζεις·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.160
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,161,"καὶ δή μοι γέρας αὐτὸς ἀφαιρήσεσθαι ἀπειλεῖς,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.161
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,162,"ᾧ ἔπι πολλὰ μόγησα, δόσαν δέ μοι υἷες Ἀχαιῶν.",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.162
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,163,οὐ μὲν σοί ποτε ἶσον ἔχω γέρας ὁππότʼ Ἀχαιοὶ,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.163
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,164,Τρώων ἐκπέρσωσʼ εὖ ναιόμενον πτολίεθρον·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.164
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,165,ἀλλὰ τὸ μὲν πλεῖον πολυάϊκος πολέμοιο,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.165
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,166,"χεῖρες ἐμαὶ διέπουσʼ· ἀτὰρ ἤν ποτε δασμὸς ἵκηται,",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.166
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,167,"σοὶ τὸ γέρας πολὺ μεῖζον, ἐγὼ δʼ ὀλίγον τε φίλον τε",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.167
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,168,"ἔρχομʼ ἔχων ἐπὶ νῆας, ἐπεί κε κάμω πολεμίζων.",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.168
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,169,"νῦν δʼ εἶμι Φθίην δʼ, ἐπεὶ ἦ πολὺ φέρτερόν ἐστιν",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.169
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,170,"οἴκαδʼ ἴμεν σὺν νηυσὶ κορωνίσιν, οὐδέ σʼ ὀΐω",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.170
11,Iliad,1.149-1.171,Achilles,Agamemnon,1,171,ἐνθάδʼ ἄτιμος ἐὼν ἄφενος καὶ πλοῦτον ἀφύξειν.,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.171
12,Iliad,1.173-1.187,Agamemnon,Achilles,1,173,"φεῦγε μάλʼ εἴ τοι θυμὸς ἐπέσσυται, οὐδέ σʼ ἔγωγε",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.173
12,Iliad,1.173-1.187,Agamemnon,Achilles,1,174,λίσσομαι εἵνεκʼ ἐμεῖο μένειν· πάρʼ ἔμοιγε καὶ ἄλλοι,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.174
12,Iliad,1.173-1.187,Agamemnon,Achilles,1,175,"οἵ κέ με τιμήσουσι, μάλιστα δὲ μητίετα Ζεύς.",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.175
12,Iliad,1.173-1.187,Agamemnon,Achilles,1,176,ἔχθιστος δέ μοί ἐσσι διοτρεφέων βασιλήων·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.176
12,Iliad,1.173-1.187,Agamemnon,Achilles,1,177,αἰεὶ γάρ τοι ἔρις τε φίλη πόλεμοί τε μάχαι τε·,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.177
12,Iliad,1.173-1.187,Agamemnon,Achilles,1,178,"εἰ μάλα καρτερός ἐσσι, θεός που σοὶ τό γʼ ἔδωκεν·",0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.178
12,Iliad,1.173-1.187,Agamemnon,Achilles,1,179,οἴκαδʼ ἰὼν σὺν νηυσί τε σῇς καὶ σοῖς ἑτάροισι,0,urn:cts:greekLit:tlg0012.tlg001.perseus-grc2:1.179
